TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
695178.1609,-954.406,-215.391,-210.511,3053.75,-140.0,-3788.75,646.0,215.84,80.56
695178.2109,-957.395,-198.189,-200.629,7463.75,1986.25,315.0,647.52,229.52,68.4
695178.2609,-966.179,-186.294,-199.836,7262.5,1898.75,1925.0,649.04,218.88,82.08
695178.3109,-945.988,-163.541,-193.187,-1846.25,3815.0,1356.25,638.4,217.36,74.48
695178.3611,-952.515,-178.547,-198.738,-1811.25,7525.0,-1513.75,642.96,223.44,86.64
695178.4109,-970.815,-186.904,-201.422,-2397.5,4392.5,-3150.0,649.04,205.2,91.2
695178.4609,-978.867,-199.165,-210.45,1872.5,1067.5,-5433.75,636.88,205.2,72.96
695178.5109,-962.702,-197.091,-214.354,2108.75,-2730.0,-5801.25,659.68,221.92,86.64
695178.5609,-943.06,-193.614,-212.036,323.75,-490.0,-5223.75,627.76,221.92,77.52
695178.6109,-951.356,-196.603,-211.182,-2668.75,1986.25,-3578.75,638.4,220.4,76.0
695178.6609,-952.942,-216.55,-210.328,-2187.5,2590.0,-2292.5,641.44,235.6,89.68
695178.7109,-961.787,-212.951,-207.705,988.75,1120.0,-2257.5,638.4,229.52,74.48
695178.7609,-967.582,-209.291,-198.616,2686.25,-4506.25,-2336.25,644.48,218.88,82.08
695178.8109,-961.848,-203.74,-188.734,2152.5,-5083.75,-2948.75,632.32,220.4,69.92
695178.8609,-950.38,-203.801,-179.157,-1531.25,-1513.75,-2703.75,655.12,234.08,82.08
695178.9109,-952.881,-207.888,-183.976,-1951.25,3570.0,-1058.75,635.36,240.16,51.68
695178.9609,-961.97,-207.034,-192.211,638.75,4208.75,-980.0,646.0,214.32,83.6
695179.0109,-966.606,-205.631,-191.601,-280.0,-148.75,-1566.25,649.04,240.16,60.8
695179.0609,-958.798,-205.692,-190.442,516.25,-96.25,-2861.25,638.4,231.04,63.84
695179.1109,-960.689,-211.548,-188.917,210.0,761.25,-2135.0,653.6,238.64,66.88
