TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
694401.3109,-962.031,-199.104,-197.457,1566.25,1163.75,-2240.0,644.48,240.16,59.28
694401.3609,-959.469,-208.254,-202.154,1015.0,717.5,-2493.75,633.84,249.28,71.44
694401.4109,-955.931,-202.276,-207.339,3937.5,1102.5,-4016.25,635.36,237.12,48.64
694401.4609,-958.859,-209.23,-202.703,7131.25,1566.25,-5075.0,627.76,238.64,41.04
694401.5109,-966.85,-216.184,-208.62,9555.0,-1181.25,-6431.25,636.88,232.56,65.36
694401.5609,-968.619,-219.417,-199.043,22531.25,-2843.75,-10535.0,646.0,249.28,39.52
694401.6109,-956.907,-222.589,-189.893,20160.0,-7227.5,-8820.0,641.44,228.0,48.64
694401.6609,-951.661,-244.488,-177.083,27492.5,-3858.75,-10981.25,641.44,244.72,36.48
694401.7109,-966.362,-237.351,-160.369,27352.5,-4768.75,-11725.0,627.76,249.28,21.28
694401.7609,-956.785,-265.716,-140.483,13667.5,-8828.75,-7778.75,632.32,258.4,44.08
694401.8109,-947.635,-260.043,-126.148,16887.5,-5346.25,-8225.0,624.72,253.84,15.2
694401.8609,-948.855,-285.236,-111.325,1452.5,-3473.75,-6230.0,623.2,259.92,9.12
694401.9109,-950.929,-282.247,-96.014,-11086.25,-1058.75,-4060.0,638.4,259.92,-4.56
694401.9609,-942.572,-306.037,-106.384,-14761.25,1251.25,-3080.0,618.64,261.44,22.8
694402.0109,-945.317,-299.693,-111.447,-18471.25,4480.0,-481.25,633.84,255.36,15.2
694402.0609,-952.149,-300.669,-124.623,-24482.5,4270.0,1916.25,612.56,256.88,9.12
694402.1109,-945.134,-306.525,-143.594,-21498.75,5302.5,2590.0,621.68,252.32,36.48
694402.1609,-948.611,-292.861,-158.051,-17543.75,5171.25,3316.25,639.92,253.84,28.88
694402.2109,-949.404,-286.7,-169.763,-11138.75,5810.0,3998.75,630.8,246.24,50.16
694402.2609,-950.136,-263.886,-173.911,-4847.5,6151.25,5048.75,641.44,255.36,36.48
694402.3109,-952.82,-245.708,-174.704,-5608.75,5923.75,5923.75,623.2,243.2,34.96
694402.3609,-956.175,-228.262,-177.327,-4033.75,4690.0,4418.75,624.72,240.16,38.0
694402.4109,-962.336,-222.406,-176.595,-9213.75,2327.5,4515.0,630.8,252.32,44.08
694402.4609,-960.506,-224.846,-181.17,-8916.25,1207.5,2581.25,636.88,237.12,60.8
694402.5109,-959.042,-224.48,-178.242,-7770.0,1207.5,2231.25,636.88,237.12,47.12
694402.5609,-962.519,-216.977,-178.547,-4917.5,1198.75,1898.75,632.32,231.04,54.72
694402.6109,-961.665,-217.648,-175.253,-2563.75,1811.25,1102.5,642.96,231.04,48.64
694402.6609,-965.935,-210.511,-171.471,-1303.75,1750.0,997.5,626.24,235.6,47.12
694402.7109,-961.726,-207.461,-172.935,1933.75,2292.5,-245.0,629.28,241.68,72.96
694402.7609,-963.068,-209.962,-176.656,857.5,2240.0,26.25,647.52,238.64,45.6
694402.8109,-963.678,-202.337,-176.839,1662.5,2782.5,-1006.25,638.4,221.92,56.24
694402.8609,-963.129,-209.413,-178.974,358.75,2283.75,-1303.75,653.6,238.64,42.56
694402.9109,-964.593,-210.999,-178.669,-735.0,1828.75,-1373.75,632.32,240.16,57.76
694402.9609,-961.055,-216.367,-178.974,910.0,1898.75,-1933.75,636.88,249.28,59.28
694403.0109,-962.092,-217.831,-182.817,1207.5,1898.75,-1793.75,642.96,241.68,54.72
694403.0609,-960.201,-219.661,-180.133,1662.5,2301.25,-2047.5,641.44,220.4,66.88
694403.1109,-957.944,-218.502,-180.682,1225.0,2458.75,-1732.5,644.48,244.72,44.08
694403.1609,-961.726,-218.624,-180.56,1233.75,2292.5,-2117.5,635.36,228.0,56.24
694403.2109,-961.055,-221.552,-179.767,280.0,1925.0,-1890.0,641.44,237.12,45.6
694403.2609,-959.591,-217.16,-179.035,490.0,1715.0,-1277.5,633.84,244.72,56.24
694403.3109,-962.092,-211.365,-182.329,682.5,2301.25,-1216.25,652.08,231.04,65.36
