TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
313190.0192,-9559.25,3638.74,12602.57,11806.92,9355.02,10499.48,15296.37,15512.42
313190.0232,-9561.35,3635.36,12601.42,11801.39,9356.83,10494.47,15294.51,15510.37
313190.0272,-9564.35,3632.78,12600.14,11803.72,9355.12,10496.71,15293.65,15510.99
313190.0312,-9565.5,3632.21,12609.53,11814.98,9363.41,10507.87,15302.85,15519.24
313190.0352,-9574.46,3622.58,12596.61,11801.05,9351.16,10492.99,15289.98,15506.56
313190.0392,-9574.13,3625.11,12599.37,11800.86,9354.54,10494.04,15291.36,15507.99
313190.0432,-9577.42,3628.06,12599.99,11806.87,9353.59,10501.05,15293.31,15511.04
313190.0472,-9574.27,3631.74,12606.57,11818.93,9359.79,10511.02,15302.47,15518.86
313190.0512,-9569.65,3628.78,12600.28,11802.01,9355.69,10494.14,15292.93,15509.32
313190.0552,-9567.79,3627.25,12596.99,11800.72,9350.68,10494.09,15290.31,15507.99
313190.0592,-9569.26,3627.73,12597.56,11803.1,9352.88,10496.05,15291.88,15509.04
313190.0632,-9571.51,3624.96,12599.52,11800.77,9356.21,10493.52,15292.36,15509.51
313190.0672,-9569.6,3624.39,12599.28,11799.77,9354.97,10493.23,15292.31,15509.13
313190.0712,-9569.88,3625.77,12595.51,11798.81,9349.25,10491.71,15289.55,15506.41
313190.0752,-9566.83,3631.69,12604.52,11807.44,9358.98,10501.53,15298.46,15515.62
313190.0792,-9564.35,3634.79,12609.96,11807.73,9365.99,10501.1,15302.28,15519.91
313190.0831,-9571.6,3628.87,12617.3,11811.78,9372.19,10504.1,15307.62,15525.63
313190.0871,-9569.22,3628.21,12618.02,11816.17,9372.14,10508.68,15311.05,15526.34
313190.0911,-9559.54,3634.69,12606.24,11804.87,9360.93,10497.24,15298.42,15514.18
313190.0951,-9554.1,3638.32,12608.72,11809.35,9363.7,10500.96,15301.18,15517.28
313190.0991,-9565.88,3632.83,12609.15,11813.93,9362.27,10505.77,15303.18,15519.1
313190.1031,-9565.88,3631.74,12603.24,11810.69,9356.64,10503.67,15299.13,15515.42
313190.1071,-9565.45,3629.49,12593.99,11800.96,9347.63,10493.52,15290.12,15506.36
313190.1111,-9566.83,3628.64,12594.37,11800.67,9348.54,10492.33,15289.5,15506.7
313190.1151,-9568.31,3629.83,12601.9,11804.11,9356.69,10496.05,15295.22,15511.94
313190.1191,-9568.84,3631.4,12609.29,11817.36,9362.36,10509.87,15305.0,15521.58
313190.1231,-9569.69,3625.77,12604.52,11806.01,9357.36,10499.1,15298.08,15514.47
313190.1271,-9564.26,3628.78,12603.76,11800.82,9358.45,10492.52,15295.46,15512.75
313190.1311,-9558.15,3638.55,12611.82,11805.73,9367.66,10497.62,15302.14,15518.62
313190.1351,-9555.15,3641.03,12624.89,11816.88,9380.44,10509.68,15314.53,15529.92
313190.1391,-9558.54,3637.22,12624.07,11812.02,9381.01,10503.82,15312.48,15527.3
313190.1431,-9556.49,3637.08,12613.68,11804.15,9369.9,10496.38,15303.9,15520.19
313190.147,-9563.59,3629.78,12592.56,11802.29,9343.29,10494.71,15288.64,15505.41
313190.151,-9568.36,3626.01,12597.8,11805.01,9349.16,10497.95,15291.74,15508.7
313190.155,-9561.44,3632.36,12614.2,11811.64,9368.56,10504.72,15304.76,15521.43
313190.159,-9557.68,3636.55,12621.21,11815.74,9376.72,10507.78,15311.91,15527.92
313190.163,-9556.06,3637.12,12608.58,11809.73,9363.27,10501.91,15302.71,15518.95
313190.167,-9563.3,3628.16,12593.99,11796.29,9348.06,10488.18,15288.21,15503.89
313190.171,-9562.92,3625.87,12606.43,11809.73,9360.93,10501.05,15301.42,15515.47
313190.175,-9563.11,3628.16,12609.48,11815.98,9362.17,10505.87,15304.19,15518.81
313190.179,-9562.59,3631.21,12603.71,11812.26,9357.02,10503.53,15300.32,15515.14
313190.183,-9565.55,3630.11,12601.76,11800.24,9355.55,10492.95,15294.27,15510.56
313190.187,-9566.64,3630.35,12601.85,11800.15,9356.02,10491.99,15294.41,15511.32
313190.191,-9559.35,3632.55,12609.96,11799.91,9364.84,10491.9,15298.56,15515.28
313190.195,-9557.87,3629.3,12603.28,11800.53,9356.36,10493.9,15294.79,15511.47
313190.199,-9561.97,3625.3,12601.9,11802.29,9356.45,10494.71,15295.7,15512.9
313190.203,-9564.69,3623.44,12599.99,11798.76,9355.64,10491.9,15293.93,15510.47
313190.207,-9563.92,3626.39,12601.23,11798.91,9357.5,10491.99,15294.98,15510.04
313190.2108,-9563.54,3629.54,12605.1,11805.15,9360.55,10497.95,15298.56,15514.9
313190.2148,-9563.78,3628.4,12604.33,11806.35,9361.98,10499.62,15298.8,15515.66
313190.2188,-9559.49,3632.26,12609.1,11812.55,9365.99,10505.39,15303.9,15519.76
313190.2228,-9562.73,3632.16,12618.83,11812.4,9375.76,10505.96,15308.53,15525.72
313190.2268,-9565.45,3629.26,12608.67,11811.64,9363.8,10504.58,15301.13,15519.53
313190.2308,-9561.35,3633.93,12616.21,11814.88,9373.38,10507.68,15306.67,15524.06
313190.2348,-9565.55,3629.59,12606.05,11812.64,9359.74,10504.63,15301.61,15517.05
313190.2388,-9572.13,3623.1,12593.89,11796.38,9347.15,10488.32,15288.02,15503.74
313190.2428,-9572.6,3622.91,12603.19,11801.53,9358.12,10493.23,15294.74,15511.75
313190.2468,-9566.36,3628.49,12615.01,11820.41,9369.99,10512.35,15309.62,15525.63
313190.2508,-9560.97,3632.88,12622.02,11831.43,9376.0,10524.23,15317.39,15532.97
