TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
313042.1201,-8986.86,4355.81,12562.66,11428.64,9221.51,10025.45,15004.11,15190.03
313042.1241,-8993.53,4347.23,12558.13,11421.73,9216.21,10018.45,14998.96,15183.36
313042.1281,-8995.96,4347.13,12561.23,11423.06,9222.17,10019.07,15002.06,15187.41
313042.1321,-9002.5,4345.37,12557.17,11418.96,9217.93,10016.01,14998.01,15184.5
313042.1361,-8996.2,4347.18,12559.61,11418.92,9219.22,10015.82,14997.82,15185.6
313042.1401,-8976.27,4360.49,12571.62,11432.17,9231.19,10028.74,15011.26,15198.14
313042.1441,-8976.13,4358.1,12574.1,11435.18,9233.33,10031.89,15014.46,15200.43
313042.1481,-8987.05,4351.76,12571.96,11431.46,9231.85,10028.03,15011.74,15198.47
313042.1521,-8991.29,4355.72,12564.18,11422.68,9223.84,10019.11,15002.92,15189.94
313042.1561,-8991.24,4353.33,12566.85,11422.73,9225.56,10018.92,15003.83,15190.89
313042.1601,-9000.4,4342.94,12564.71,11419.82,9223.61,10015.58,15000.77,15188.03
313042.1641,-8998.49,4343.08,12569.95,11427.26,9230.28,10022.93,15007.16,15193.75
313042.1681,-9008.74,4334.83,12567.57,11427.88,9226.47,10024.6,15005.45,15192.13
313042.1721,-9008.69,4341.7,12564.61,11434.46,9223.18,10030.6,15007.07,15193.18
313042.1761,-9010.08,4341.08,12564.85,11434.56,9224.46,10029.94,15005.69,15192.42
313042.1801,-9007.74,4336.41,12557.98,11424.97,9215.64,10021.35,14997.34,15183.74
313042.1839,-9002.26,4335.93,12567.04,11436.32,9225.32,10032.75,15006.73,15194.23
313042.1879,-9001.78,4336.64,12582.3,11450.24,9241.53,10046.05,15021.33,15207.91
313042.1919,-9004.16,4339.27,12571.86,11435.32,9232.33,10032.08,15009.64,15195.47
313042.1959,-9001.59,4342.13,12562.85,11430.22,9221.98,10027.98,15002.54,15189.55
313042.1999,-9012.51,4333.21,12559.42,11433.27,9218.5,10029.98,15001.01,15188.17
